

Starting up. (ID: cqU-avod) 21:16.20
---------------------
[21:16:20] cqU-avod MISC: Saved storyteller is 'healer'
[21:16:20] cqU-avod ADMIN: Loading jobban_rank
[21:16:20] cqU-avod ADMIN: jobban_keylist was empty
[21:16:20] cqU-avod ADMIN: Loading Banlist
[21:16:49] cqU-avod ACCESS: Logout: RiotScopez/()
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/() from 146.115.147.185-1871707424 || BYOND v514.1585
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[21:17:23] cqU-avod DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[21:18:04] cqU-avod ADMIN: EVENT *null* has loaded a character.
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 12, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 14, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 11, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 13, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 12, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 14, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 11, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 13, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 12, but not have that slot!
[21:24:56] cqU-avod GAME: blocker loaded at at 158,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 171,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 184,47,20
[21:24:56] cqU-avod GAME: blocker loaded at at 2,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 15,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 28,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 41,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 54,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 67,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 80,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 93,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 106,38,20
[21:24:56] cqU-avod GAME: blocker loaded at at 2,29,20
[21:24:56] cqU-avod GAME: blocker loaded at at 15,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 28,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 41,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 54,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 67,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 80,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 93,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 106,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 119,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 132,29,20
[21:24:57] cqU-avod GAME: blocker loaded at at 2,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 15,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 28,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 41,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 54,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 67,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 80,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 93,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 106,20,20
[21:24:57] cqU-avod GAME: blocker loaded at at 119,20,20
[21:24:58] cqU-avod GAME: blocker loaded at at 28,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 41,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 54,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 67,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 93,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 106,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 119,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 145,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 171,2,20
[21:24:58] cqU-avod GAME: blocker loaded at at 184,2,20
[21:25:29] cqU-avod ADMIN: RiotScopez has started the game.
[21:25:30] cqU-avod DEBUG: Runtime in inspiration_component.dm,29: undefined variable /obj/item/tool/sword/saber/var/perk <A HREF='?_src_=holder;viewruntime=[0x210ef34c]'>[view]</A>
[21:25:30] cqU-avod ACCESS: Logout: *no key*/(/(RiotScopez))
[21:25:30] cqU-avod ACCESS: Login: RiotScopez/(/(Katharine Griffiths)) from 146.115.147.185-1871707424 || BYOND v514
[21:25:31] cqU-avod DEBUG: Could not find style "ErisStyle" for /mob/living/carbon/human.
[21:25:34] cqU-avod DEBUG: Creating records for Katharine Griffiths
[21:25:47] cqU-avod GAME: Explosion with size (-1, 1, 2) in area Swamp Caves 
[21:25:47] cqU-avod GAME: Explosion with size (-1, 1, 2) in area Prepper Base 
[21:25:49] cqU-avod SAY: *no key*/(/(rat (504))) squeals! 
[21:25:59] cqU-avod SAY: *no key*/(/(rat (496))) squeals! 
[21:26:00] cqU-avod GAME: Explosion with size (-1, 0, 1) in area Vault Bunker 
[21:26:00] cqU-avod SAY: *no key*/(/(rat (792))) squeals! 
[21:26:00] cqU-avod GAME: Explosion with size (-1, 0, 1) in area Vault Bunker 
[21:26:00] cqU-avod SAY: *no key*/(/(rat (856))) squeals! 
[21:26:00] cqU-avod SAY: *no key*/(/(rat (59))) squeals! 
[21:26:01] cqU-avod SAY: *no key*/(/(rat (426))) squeals! 
[21:26:02] cqU-avod GAME: Explosion with size (-1, 0, 1) in area Vault Bunker 
[21:26:48] cqU-avod SAY: *no key*/(/(rat (624))) squeals! 
[21:26:48] cqU-avod SAY: *no key*/(/(rat (346))) squeals! 
[21:26:49] cqU-avod SAY: Kraftwerk Roach/ : 10101010011100010101.
[21:26:49] cqU-avod SAY: *no key*/(/(rat (459))) squeals! 
[21:26:49] cqU-avod SAY: *no key*/(/(rat (435))) squeals! 
[21:26:49] cqU-avod SAY: *no key*/(/(rat (515))) squeals! 
[21:26:49] cqU-avod SAY: *no key*/(/(rat (641))) squeals! 
[21:26:50] cqU-avod SAY: *no key*/(/(rat (301))) squeals! 
[21:26:50] cqU-avod SAY: Kraftwerk Roach/ : 10101010011100010101.
[21:26:50] cqU-avod SAY: *no key*/(/(rat (180))) squeals! 
[21:26:50] cqU-avod SAY: *no key*/(/(rat (871))) squeals! 
[21:26:50] cqU-avod SAY: *no key*/(/(rat (847))) squeals! 
[21:26:51] cqU-avod SAY: *no key*/(/(rat (995))) squeals! 
[21:27:36] cqU-avod GAME: Explosion with size (-1, 0, 1) in area Prepper Base 
[21:27:37] cqU-avod SAY: *no key*/(/(rat (427))) squeals! 
[21:27:37] cqU-avod SAY: *no key*/(/(rat (96))) squeals! 
[21:27:37] cqU-avod SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[21:27:39] cqU-avod SAY: Kraftwerk Roach/ : 10101010011100010101.
[21:27:43] cqU-avod GAME: Explosion with size (0, 1, 3) in area Greyson Field Offices 
[21:27:46] cqU-avod SAY: *no key*/(/(rat (184))) squeals! 
[21:28:10] cqU-avod ADMIN: RiotScopez/(/(Katharine Griffiths)) spawned /obj/structure/closet/secure_closet/reinforced/preacher at (123,159,3) (<a HREF='?_src_=holder;adminplayerobservecoodjump=1;X=123;Y=159;Z=3'>JMP</a>)
[21:28:13] cqU-avod ADMIN: RiotScopez/(/(Katharine Griffiths)) deleted the prime's locker at (123,159,3)
[21:28:17] cqU-avod DEBUG: Runtime in unsorted.dm,1381: addtimer called with a callback assigned to a qdeleted object. In the future such timers will not be supported and may refuse to run or run with a 0 wait <A HREF='?_src_=holder;viewruntime=[0x21031719]'>[view]</A>
[21:28:18] cqU-avod SAY: *no key*/(/(rat (37))) squeals! 
[21:28:18] cqU-avod SAY: Kraftwerk Roach/ : 10101010011100010101.
[21:28:19] cqU-avod SAY: *no key*/(/(rat (642))) squeals! 
[21:28:23] cqU-avod GAME: Explosion with size (-1, 0, 1) in area Deep Maintenance 
[21:28:24] cqU-avod DEBUG: Runtime in unsorted.dm,1381: addtimer called with a callback assigned to a qdeleted object. In the future such timers will not be supported and may refuse to run or run with a 0 wait <A HREF='?_src_=holder;viewruntime=[0x210f4627]'>[view]</A>
[21:28:26] cqU-avod GAME: Explosion with size (0, 1, 3) in area Greyson Field Offices 
[21:28:27] cqU-avod SAY: *no key*/(/(rat (129))) squeals! 
[21:28:56] cqU-avod DEBUG: Runtime in unsorted.dm,1381: addtimer called with a callback assigned to a qdeleted object. In the future such timers will not be supported and may refuse to run or run with a 0 wait <A HREF='?_src_=holder;viewruntime=[0x2104cb3a]'>[view]</A>
[21:28:58] cqU-avod SAY: Kraftwerk Roach/ : 10101010011100010101.
[21:28:58] cqU-avod SAY: Kraftwerk Roach/ : 10101010011100010101.
[21:29:13] cqU-avod ADMIN: RiotScopez/(/(Katharine Griffiths)) created 1 /obj/structure/closet/secure_closet/reinforced/captains (<a HREF='?_src_=holder;adminplayerobservecoodjump=1;X=123;Y=159;Z=3'>JMP</a>)
[21:29:16] cqU-avod SAY: *no key*/(/(rat (510))) squeals! 
[21:29:24] cqU-avod ADMIN: RiotScopez/(/(Katharine Griffiths)) deleted the Harmony Scepter at (0,0,0)
[21:29:29] cqU-avod GAME: Explosion with size (-1, 0, 1) in area Deep Forest 
[21:29:43] cqU-avod GAME: Explosion with size (-1, 0, 1) in area Deep Maintenance 
[21:29:50] cqU-avod ADMIN: RiotScopez/(/(Katharine Griffiths)) deleted the premier's locker at (122,159,3)
[21:29:58] cqU-avod ACCESS: Logout: RiotScopez/(/(Katharine Griffiths))
[21:29:58] cqU-avod ACCESS: Logout: RiotScopez[DC]/(/(Katharine Griffiths))
[21:29:59] cqU-avod ACCESS: Login: RiotScopez/() from 146.115.147.185-1871707424 || BYOND v514.1585
[21:29:59] cqU-avod ACCESS: Login: RiotScopez/(/(Katharine Griffiths)) from 146.115.147.185-1871707424 || BYOND v514
[21:29:59] cqU-avod DEBUG: Could not find style "ErisStyle" for /mob/living/carbon/human.
[21:30:01] cqU-avod GAME: Explosion with size (-1, 1, 2) in area Underground Floor 1 South Maintenance 
[21:30:01] cqU-avod GAME: Explosion with size (-1, 1, 2) in area Underground Floor 1 South Maintenance 
[21:30:05] cqU-avod ADMIN: RiotScopez/(/(Katharine Griffiths)) initiated an immediate reboot.
[21:30:06] cqU-avod ACCESS: Logout: RiotScopez/(/(Katharine Griffiths))
[21:30:06] cqU-avod ACCESS: Logout: RiotScopez[DC]/(/(Katharine Griffiths))


Starting up. (ID: cqU-ax49) 21:33.28
---------------------
[21:33:28] cqU-ax49 MISC: Saved storyteller is 'healer'
[21:33:28] cqU-ax49 ADMIN: Loading jobban_rank
[21:33:28] cqU-ax49 ADMIN: jobban_keylist was empty
[21:33:28] cqU-ax49 ADMIN: Loading Banlist
[21:33:39] cqU-ax49 ACCESS: Login: RiotScopez/() from 146.115.147.185-1871707424 || BYOND v514.1585
[21:33:39] cqU-ax49 ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[21:33:39] cqU-ax49 DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[21:33:39] cqU-ax49 ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[21:35:11] cqU-ax49 ADMIN: EVENT *null* has loaded a character.
[21:35:19] cqU-ax49 ADMIN: Jordan Nicholas try find_inv_position a 14, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Jordan Nicholas try find_inv_position a 11, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Jordan Nicholas try find_inv_position a 13, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Jordan Nicholas try find_inv_position a 12, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: David Llora try find_inv_position a 14, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: David Llora try find_inv_position a 11, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: David Llora try find_inv_position a 13, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: David Llora try find_inv_position a 12, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Joel Walker try find_inv_position a 14, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Joel Walker try find_inv_position a 11, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Joel Walker try find_inv_position a 13, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Joel Walker try find_inv_position a 12, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Noel Focell try find_inv_position a 14, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Noel Focell try find_inv_position a 11, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Noel Focell try find_inv_position a 13, but not have that slot!
[21:35:19] cqU-ax49 ADMIN: Noel Focell try find_inv_position a 12, but not have that slot!
[21:35:20] cqU-ax49 ADMIN: Ivan Sulyard try find_inv_position a 14, but not have that slot!
[21:35:20] cqU-ax49 ADMIN: Ivan Sulyard try find_inv_position a 11, but not have that slot!
[21:35:20] cqU-ax49 ADMIN: Ivan Sulyard try find_inv_position a 13, but not have that slot!
[21:35:20] cqU-ax49 ADMIN: Ivan Sulyard try find_inv_position a 12, but not have that slot!
[21:35:20] cqU-ax49 ADMIN: Jerry Knapp try find_inv_position a 14, but not have that slot!
[21:35:20] cqU-ax49 ADMIN: Jerry Knapp try find_inv_position a 11, but not have that slot!
[21:35:20] cqU-ax49 ADMIN: Jerry Knapp try find_inv_position a 13, but not have that slot!
[21:35:20] cqU-ax49 ADMIN: Jerry Knapp try find_inv_position a 12, but not have that slot!
[21:37:39] cqU-ax49 GAME: ironhammer 3 loaded at at 76,81,19
[21:37:40] cqU-ax49 GAME: ironhammer 2 loaded at at 51,56,19
[21:37:40] cqU-ax49 GAME: ironhammer 1 loaded at at 11,71,19
[21:37:41] cqU-ax49 GAME: ironhammer 2 loaded at at 26,61,19
[21:37:42] cqU-ax49 GAME: ironhammer 1 loaded at at 36,86,19
[21:37:42] cqU-ax49 GAME: ironhammer 3 loaded at at 31,21,19
[21:37:43] cqU-ax49 GAME: ironhammer 2 loaded at at 46,86,19
[21:37:44] cqU-ax49 GAME: ironhammer 2 loaded at at 26,46,19
[21:37:44] cqU-ax49 GAME: neutral 2 loaded at at 86,106,19
[21:37:44] cqU-ax49 GAME: neutral 8 loaded at at 86,66,19
[21:37:44] cqU-ax49 GAME: neutral 7 loaded at at 31,106,19
[21:37:44] cqU-ax49 GAME: neutral 7 loaded at at 41,21,19
[21:37:44] cqU-ax49 GAME: neutral 3 loaded at at 96,31,19
[21:37:44] cqU-ax49 GAME: neutral 6 loaded at at 16,31,19
[21:37:44] cqU-ax49 GAME: neutral 4 loaded at at 101,21,19
[21:37:44] cqU-ax49 GAME: neutral 3 loaded at at 71,106,19
[21:37:44] cqU-ax49 GAME: neutral 7 loaded at at 81,106,19
[21:37:44] cqU-ax49 GAME: neutral 9 loaded at at 81,51,19
[21:37:44] cqU-ax49 GAME: neutral 7 loaded at at 26,26,19
[21:37:44] cqU-ax49 GAME: neutral 10 loaded at at 16,96,19
[21:37:44] cqU-ax49 GAME: neutral 3 loaded at at 106,96,19
[21:37:44] cqU-ax49 GAME: neutral 10 loaded at at 86,76,19
[21:37:44] cqU-ax49 GAME: neutral 4 loaded at at 11,101,19
[21:37:44] cqU-ax49 GAME: neutral 4 loaded at at 71,86,19
[21:37:44] cqU-ax49 GAME: neutral 1 loaded at at 101,106,19
[21:37:44] cqU-ax49 GAME: neutral 10 loaded at at 91,11,19
[21:37:44] cqU-ax49 GAME: neutral 7 loaded at at 41,11,19
[21:37:44] cqU-ax49 GAME: neutral 11 loaded at at 81,71,19
[21:37:44] cqU-ax49 GAME: neutral 5 loaded at at 86,26,19
[21:37:44] cqU-ax49 GAME: neutral 5 loaded at at 86,31,19
[21:37:44] cqU-ax49 GAME: neutral 10 loaded at at 11,26,19
[21:37:44] cqU-ax49 GAME: neutral 9 loaded at at 101,16,19
[21:37:44] cqU-ax49 GAME: neutral 11 loaded at at 86,41,19
[21:37:45] cqU-ax49 GAME: neutral 4 loaded at at 96,31,19
[21:37:45] cqU-ax49 GAME: neutral 11 loaded at at 61,96,19
[21:37:45] cqU-ax49 GAME: neutral 7 loaded at at 101,61,19
[21:37:45] cqU-ax49 GAME: neutral 3 loaded at at 26,96,19
[21:37:45] cqU-ax49 GAME: neutral 9 loaded at at 71,101,19
[21:37:45] cqU-ax49 GAME: neutral 10 loaded at at 81,61,19
[21:37:45] cqU-ax49 GAME: neutral 11 loaded at at 41,76,19
[21:37:45] cqU-ax49 GAME: neutral 10 loaded at at 11,56,19
[21:37:45] cqU-ax49 GAME: neutral 6 loaded at at 96,101,19
[21:37:45] cqU-ax49 GAME: neutral 11 loaded at at 41,81,19
[21:37:45] cqU-ax49 GAME: neutral 11 loaded at at 46,51,19
[21:37:45] cqU-ax49 GAME: neutral 1 loaded at at 61,81,19
[21:37:45] cqU-ax49 GAME: neutral 5 loaded at at 41,91,19
[21:37:45] cqU-ax49 GAME: neutral 3 loaded at at 76,51,19
[21:37:45] cqU-ax49 GAME: neutral 7 loaded at at 61,21,19
[21:37:45] cqU-ax49 GAME: neutral 6 loaded at at 16,11,19
[21:37:45] cqU-ax49 GAME: neutral 5 loaded at at 21,11,19
[21:37:45] cqU-ax49 GAME: neutral 8 loaded at at 91,66,19
[21:37:45] cqU-ax49 GAME: neutral 3 loaded at at 16,71,19
[21:37:45] cqU-ax49 GAME: neutral 8 loaded at at 11,46,19
[21:37:46] cqU-ax49 GAME: neutral 10 loaded at at 56,31,19
[21:37:46] cqU-ax49 GAME: neutral 4 loaded at at 41,16,19
[21:37:46] cqU-ax49 GAME: neutral 6 loaded at at 101,101,19
[21:37:46] cqU-ax49 GAME: neutral 10 loaded at at 36,76,19
[21:37:46] cqU-ax49 GAME: neutral 2 loaded at at 46,81,19
[21:37:46] cqU-ax49 GAME: neutral 7 loaded at at 61,16,19
[21:37:46] cqU-ax49 GAME: neutral 10 loaded at at 11,51,19
[21:37:46] cqU-ax49 GAME: neutral 3 loaded at at 71,106,19
[21:37:46] cqU-ax49 GAME: neutral 8 loaded at at 91,31,19
[21:37:46] cqU-ax49 GAME: neutral 7 loaded at at 11,31,19
[21:37:46] cqU-ax49 GAME: neutral 10 loaded at at 16,56,19
[21:37:46] cqU-ax49 GAME: neutral 4 loaded at at 106,101,19
[21:37:46] cqU-ax49 GAME: neutral 7 loaded at at 76,106,19
[21:37:46] cqU-ax49 GAME: neutral 2 loaded at at 96,11,19
[21:37:46] cqU-ax49 GAME: neutral 7 loaded at at 51,51,19
[21:37:59] cqU-ax49 GAME: Emitter deleted at (0,0,0)
[21:38:57] cqU-ax49 ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
[21:39:02] cqU-ax49 ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
[21:39:03] cqU-ax49 ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_boltgun_lever.png:1
[21:39:03] cqU-ax49 ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_automatic_sts_rifle.png:1
[21:39:04] cqU-ax49 ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_modular_computer_laptop.png:1
[21:39:42] cqU-ax49 VOTE: Storyteller vote started by server.
[21:39:53] cqU-ax49 GAME: Lab2 loaded at at 57,108,21
[21:39:54] cqU-ax49 GAME: AI core loaded at at 65,66,21
[21:39:54] cqU-ax49 GAME: pod bay loaded at at 97,43,21
[21:39:55] cqU-ax49 GAME: telecoms loaded at at 52,42,21
[21:39:55] cqU-ax49 GAME: telecoms loaded at at 101,111,21
[21:39:56] cqU-ax49 ADMIN: RiotScopez has started the game.
[21:39:56] cqU-ax49 GAME: maintenance asteroid loaded at at 91,88,21
[21:39:56] cqU-ax49 GAME: Entrance - 1 loaded at at 171,137,20
[21:39:57] cqU-ax49 DEBUG: Runtime in inspiration_component.dm,29: undefined variable /obj/item/tool/knife/ritual/var/perk <A HREF='?_src_=holder;viewruntime=[0x210dfa65]'>[view]</A>
[21:39:57] cqU-ax49 ACCESS: Logout: *no key*/(/(RiotScopez))
[21:39:57] cqU-ax49 ACCESS: Login: RiotScopez/(/(Katharine Griffiths)) from 146.115.147.185-1871707424 || BYOND v514
[21:39:57] cqU-ax49 DEBUG: Could not find style "ErisStyle" for /mob/living/carbon/human.
[21:40:00] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 184,137,20
[21:40:01] cqU-ax49 DEBUG: Creating records for Katharine Griffiths
[21:40:10] cqU-ax49 GAME: crematorium loaded at at 197,137,20
[21:40:12] cqU-ax49 SAY: *no key*/(/(rat (505))) squeals! 
[21:40:12] cqU-ax49 GAME: Hallway_4way loaded at at 197,128,20
[21:40:13] cqU-ax49 GAME: crematorium loaded at at 184,128,20
[21:40:14] cqU-ax49 GAME: crematorium loaded at at 171,128,20
[21:40:15] cqU-ax49 GAME: garden loaded at at 171,119,20
[21:40:19] cqU-ax49 SAY: *no key*/(/(rat (612))) squeals! 
[21:40:19] cqU-ax49 SAY: *no key*/(/(rat (752))) squeals! 
[21:40:20] cqU-ax49 SAY: *no key*/(/(rat (530))) squeals! 
[21:40:20] cqU-ax49 SAY: *no key*/(/(rat (549))) squeals! 
[21:40:20] cqU-ax49 SAY: *no key*/(/(rat (529))) squeals! 
[21:40:20] cqU-ax49 SAY: Kraftwerk Roach/ : 10101010011100010101.
[21:40:20] cqU-ax49 SAY: *no key*/(/(rat (874))) squeals! 
[21:40:20] cqU-ax49 SAY: *no key*/(/(rat (370))) squeals! 
[21:40:21] cqU-ax49 SAY: Quick Kraftwerk Roach/ : 10101010011100010101.
[21:40:21] cqU-ax49 SAY: *no key*/(/(rat (926))) squeals! 
[21:40:21] cqU-ax49 SAY: *no key*/(/(rat (438))) squeals! 
[21:40:22] cqU-ax49 SAY: *no key*/(/(rat (45))) squeals! 
[21:40:33] cqU-ax49 GAME: garden loaded at at 184,119,20
[21:40:35] cqU-ax49 GAME: garden loaded at at 197,119,20
[21:40:36] cqU-ax49 GAME: garden loaded at at 197,110,20
[21:40:37] cqU-ax49 GAME: garden loaded at at 184,110,20
[21:40:38] cqU-ax49 GAME: secure_storage_horizontal loaded at at 171,110,20
[21:40:40] cqU-ax49 GAME: Hallway_4way loaded at at 158,110,20
[21:40:41] cqU-ax49 GAME: penitentiary loaded at at 145,110,20
[21:40:42] cqU-ax49 GAME: autolathe_South-East loaded at at 132,110,20
[21:40:43] cqU-ax49 GAME: Explosion with size (-1, 0, 1) in area Vault Bunker 
[21:40:44] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 132,101,20
[21:40:45] cqU-ax49 SAY: *no key*/(/(rat (841))) squeals! 
[21:40:46] cqU-ax49 GAME: crematorium loaded at at 145,101,20
[21:40:47] cqU-ax49 GAME: Hallway_4way loaded at at 145,92,20
[21:40:48] cqU-ax49 GAME: secure_storage_horizontal loaded at at 158,92,20
[21:40:49] cqU-ax49 GAME: secure_storage_horizontal loaded at at 171,92,20
[21:40:50] cqU-ax49 GAME: garden loaded at at 184,92,20
[21:40:51] cqU-ax49 SAY: *no key*/(/(rat (641))) squeals! 
[21:40:51] cqU-ax49 SAY: Kraftwerk Roach/ : 10101010011100010101.
[21:40:52] cqU-ax49 GAME: garden loaded at at 197,92,20
[21:40:53] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 197,83,20
[21:40:55] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 197,74,20
[21:40:56] cqU-ax49 GAME: garden loaded at at 184,74,20
[21:40:57] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 184,65,20
[21:40:59] cqU-ax49 GAME: garden loaded at at 197,65,20
[21:41:01] cqU-ax49 GAME: garden loaded at at 197,56,20
[21:41:01] cqU-ax49 SAY: *no key*/(/(rat (628))) squeals! 
[21:41:01] cqU-ax49 SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[21:41:02] cqU-ax49 GAME: garden loaded at at 184,56,20
[21:41:03] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 184,47,20
[21:41:03] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 197,47,20
[21:41:04] cqU-ax49 GAME: garden loaded at at 197,38,20
[21:41:05] cqU-ax49 GAME: crematorium loaded at at 184,38,20
[21:41:07] cqU-ax49 GAME: checkpoint_horizontal loaded at at 171,38,20
[21:41:08] cqU-ax49 GAME: hallwayatmos_west-east loaded at at 158,38,20
[21:41:09] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 145,38,20
[21:41:10] cqU-ax49 GAME: showers loaded at at 132,38,20
[21:41:10] cqU-ax49 GAME: crematorium loaded at at 119,38,20
[21:41:11] cqU-ax49 GAME: garden loaded at at 106,38,20
[21:41:13] cqU-ax49 GAME: crematorium loaded at at 93,38,20
[21:41:14] cqU-ax49 GAME: Hallway_4way loaded at at 80,38,20
[21:41:14] cqU-ax49 GAME: showers loaded at at 67,38,20
[21:41:16] cqU-ax49 GAME: garden loaded at at 54,38,20
[21:41:17] cqU-ax49 GAME: autolathe_South-East loaded at at 41,38,20
[21:41:18] cqU-ax49 GAME: checkpoint_vertical loaded at at 41,29,20
[21:41:20] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 41,20,20
[21:41:21] cqU-ax49 GAME: secure_storage_horizontal loaded at at 28,20,20
[21:41:23] cqU-ax49 GAME: Hallway_4way loaded at at 15,20,20
[21:41:24] cqU-ax49 GAME: crematorium loaded at at 2,20,20
[21:41:26] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 2,11,20
[21:41:27] cqU-ax49 GAME: Hallway_4way loaded at at 15,11,20
[21:41:28] cqU-ax49 GAME: showers loaded at at 28,11,20
[21:41:30] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 41,11,20
[21:41:30] cqU-ax49 GAME: Escape_Pod_West-East loaded at at 41,2,20
