

Starting up. (ID: cqr-c9st) 15:41.04
---------------------
[15:41:04] cqr-c9st MISC: Saved storyteller is 'healer'
[15:41:04] cqr-c9st ADMIN: Loading jobban_rank
[15:41:04] cqr-c9st ADMIN: jobban_keylist was empty
[15:41:04] cqr-c9st ADMIN: Loading Banlist
[15:42:07] cqr-c9st ACCESS: Login: RiotScopez/() from 64.238.138.250-1871707424 || BYOND v514.1582
[15:42:07] cqr-c9st ACCESS: Login: RiotScopez/(/(RiotScopez)) from 64.238.138.250-1871707424 || BYOND v514
[15:42:08] cqr-c9st DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[15:42:08] cqr-c9st ACCESS: Login: RiotScopez/(/(RiotScopez)) from 64.238.138.250-1871707424 || BYOND v514
[15:42:49] cqr-c9st ADMIN: EVENT *null* has loaded a character.
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 12, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 14, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 11, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 13, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 12, but not have that slot!
[15:50:29] cqr-c9st GAME: blocker loaded at at 28,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 41,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 54,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 67,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 119,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 132,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 145,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 158,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 171,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 184,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 197,38,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 2,29,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 15,29,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 119,29,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 132,29,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 145,29,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 158,29,20
[15:50:29] cqr-c9st GAME: blocker loaded at at 171,29,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 184,29,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 197,29,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 2,20,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 15,20,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 2,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 15,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 28,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 41,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 54,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 67,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 80,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 106,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 119,11,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 2,2,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 15,2,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 28,2,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 41,2,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 54,2,20
[15:50:30] cqr-c9st GAME: blocker loaded at at 67,2,20
[15:50:31] cqr-c9st GAME: blocker loaded at at 80,2,20
[15:50:31] cqr-c9st GAME: blocker loaded at at 93,2,20
[15:50:31] cqr-c9st GAME: blocker loaded at at 106,2,20
[15:55:07] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:55:07] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Vault Bunker 
[15:55:09] cqr-c9st SAY: *no key*/(/(rat (995))) squeals! 
[15:55:16] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[15:55:17] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[15:55:18] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[15:55:18] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[15:55:19] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[15:55:19] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[15:55:23] cqr-c9st SAY: *no key*/(/(rat (318))) squeals! 
[15:55:25] cqr-c9st GAME: Explosion with size (0, 1, 3) in area Vault Bunker 
[15:55:25] cqr-c9st GAME: Explosion with size (0, 1, 3) in area Vault Bunker 
[15:55:28] cqr-c9st SAY: *no key*/(/(rat (883))) squeals! 
[15:55:28] cqr-c9st SAY: *no key*/(/(rat (125))) squeals! 
[15:56:31] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Junk Field 
[15:56:32] cqr-c9st SAY: *no key*/(/(rat (9))) squeals! 
[15:56:33] cqr-c9st SAY: *no key*/(/(rat (480))) squeals! 
[15:56:33] cqr-c9st SAY: *no key*/(/(rat (31))) squeals! 
[15:56:33] cqr-c9st SAY: *no key*/(/(rat (564))) squeals! 
[15:56:34] cqr-c9st SAY: *no key*/(/(rat (677))) squeals! 
[15:56:34] cqr-c9st SAY: *no key*/(/(rat (748))) squeals! 
[15:56:34] cqr-c9st SAY: *no key*/(/(rat (212))) squeals! 
[15:56:34] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:56:34] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[15:56:34] cqr-c9st SAY: *no key*/(/(rat (705))) squeals! 
[15:56:35] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:56:35] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[15:56:35] cqr-c9st SAY: *no key*/(/(rat (865))) squeals! 
[15:56:38] cqr-c9st GAME: Explosion with size (0, 1, 3) in area Hunting plains underground caves 
[15:57:35] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Vault Bunker 
[15:57:35] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:57:36] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[15:57:36] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[15:57:36] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[15:57:36] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[15:57:42] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Deep Maintenance 
[15:57:48] cqr-c9st SAY: *no key*/(/(rat (731))) squeals! 
[15:57:48] cqr-c9st SAY: *no key*/(/(rat (643))) squeals! 
[15:57:51] cqr-c9st SAY: *no key*/(/(rat (514))) squeals! 
[15:58:30] cqr-c9st GAME: Explosion with size (0, 1, 3) in area Hunting plains underground caves 
[15:58:32] cqr-c9st DEBUG: Runtime in unsorted.dm,1381: addtimer called with a callback assigned to a qdeleted object. In the future such timers will not be supported and may refuse to run or run with a 0 wait <A HREF='?_src_=holder;viewruntime=[0x210f721d]'>[view]</A>
[15:58:33] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:58:34] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:58:34] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:58:35] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[15:58:35] cqr-c9st SAY: *no key*/(/(rat (249))) squeals! 
[15:58:49] cqr-c9st SAY: *no key*/(/(rat (98))) squeals! 
[15:58:50] cqr-c9st SAY: *no key*/(/(rat (394))) squeals! 
[15:59:16] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:59:17] cqr-c9st GAME: Explosion with size (0, 1, 3) in area Greyson Field Offices 
[15:59:26] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Deep Maintenance 
[15:59:45] cqr-c9st DEBUG: Runtime in unsorted.dm,1381: addtimer called with a callback assigned to a qdeleted object. In the future such timers will not be supported and may refuse to run or run with a 0 wait <A HREF='?_src_=holder;viewruntime=[0x2100bcd6]'>[view]</A>
[15:59:45] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:59:46] cqr-c9st SAY: Quick Kraftwerk Roach/ : 10101010011100010101.
[15:59:46] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[15:59:47] cqr-c9st SAY: *no key*/(/(rat (844))) squeals! 
[15:59:55] cqr-c9st SAY: *no key*/(/(rat (570))) squeals! 
[16:00:05] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:00:05] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:00:05] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:00:06] cqr-c9st SAY: Lambertian Kraftwerk Roach/ : 10101010011100010101.
[16:00:09] cqr-c9st DEBUG: Moved - the combat drone was deleted while still being listened to by /datum/effect/effect/system/trail/ion.
[16:00:20] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Swamp Caves 
[16:00:20] cqr-c9st SAY: Lambertian Kraftwerk Roach/ : 10101010011100010101.
[16:00:21] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:00:22] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:00:24] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Swamp Caves 
[16:00:39] cqr-c9st SAY: Lambertian Kraftwerk Roach/ : 10101010011100010101.
[16:00:40] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:01:01] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:01:11] cqr-c9st DEBUG: Moved - the combat drone was deleted while still being listened to by /datum/effect/effect/system/trail/ion.
[16:01:13] cqr-c9st EMOTE: Kampfer Roach/ : <B>Kampfer Roach</B> coughs hysterically!
[16:01:19] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:01:20] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:01:37] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:01:38] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[16:01:54] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:02:04] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:02:28] cqr-c9st SAY: Lambertian Kraftwerk Roach/ : 10101010011100010101.
[16:02:28] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:02:34] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Deep Maintenance 
[16:03:06] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:03:06] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:03:23] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:03:23] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:03:36] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:03:51] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:04:06] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:04:17] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Deep Maintenance 
[16:04:32] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[16:04:32] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[16:04:33] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[16:04:33] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[16:04:33] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[16:04:34] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[16:04:34] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[16:04:34] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[16:04:35] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[16:04:35] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[16:04:35] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[16:04:35] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[16:04:36] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[16:04:36] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[16:04:36] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved their preferences.
[16:04:37] cqr-c9st ADMIN: RiotScopez/(/(RiotScopez)) RiotScopez/(/(RiotScopez)) has saved a character.
[16:04:55] cqr-c9st SAY: Durable Kraftwerk Roach/ : 10101010011100010101.
[16:05:28] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Prepper Base 
[16:05:41] cqr-c9st GAME: Explosion with size (-1, 1, 2) in area Swamp Caves 
[16:05:41] cqr-c9st GAME: Explosion with size (0, 1, 3) in area Swamp Caves 
[16:05:41] cqr-c9st SAY: *no key*/(/(rat (591))) squeals! 
[16:05:44] cqr-c9st DEBUG: Moved - the combat drone was deleted while still being listened to by /datum/effect/effect/system/trail/ion.
[16:05:54] cqr-c9st SAY: *no key*/(/(rat (934))) squeals! 
[16:05:56] cqr-c9st GAME: Explosion with size (-1, 1, 2) in area Deep Maintenance 
[16:06:08] cqr-c9st SAY: *no key*/(/(rat (85))) squeals! 
[16:06:10] cqr-c9st SAY: Kraftwerk Roach/ : 10101010011100010101.
[16:06:23] cqr-c9st SAY: grey baby slime (321)/ : Rawr...
[16:06:25] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[16:06:25] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[16:06:29] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[16:06:42] cqr-c9st SAY: Lambertian Kraftwerk Roach/ : 10101010011100010101.
[16:06:48] cqr-c9st SAY: Lambertian Kraftwerk Roach/ : 10101010011100010101.
[16:07:10] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[16:07:19] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[16:07:19] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[16:07:19] cqr-c9st SAY: Biosilicified Kraftwerk Roach/ : 10101010011100010101.
[16:08:03] cqr-c9st SAY: grey baby slime (529)/ : Brother...
[16:08:42] cqr-c9st GAME: Explosion with size (-1, 0, 1) in area Prepper Base 
[16:09:01] cqr-c9st ACCESS: Logout: RiotScopez/(/(RiotScopez))
[16:09:01] cqr-c9st ACCESS: Logout: RiotScopez[DC]/(/(RiotScopez))


Starting up. (ID: cqs-agdy) 20:39.09
---------------------
[20:39:09] cqs-agdy MISC: Saved storyteller is 'healer'
[20:39:10] cqs-agdy ADMIN: Loading jobban_rank
[20:39:10] cqs-agdy ADMIN: jobban_keylist was empty
[20:39:10] cqs-agdy ADMIN: Loading Banlist
[20:39:47] cqs-agdy ACCESS: Login: RiotScopez/() from 146.115.147.185-1871707424 || BYOND v514.1582
[20:39:47] cqs-agdy ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[20:39:47] cqs-agdy DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[20:39:48] cqs-agdy ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[20:40:57] cqs-agdy ADMIN: EVENT *null* has loaded a character.
[20:41:05] cqs-agdy ADMIN: Bennett Mull try find_inv_position a 14, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Bennett Mull try find_inv_position a 11, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Bennett Mull try find_inv_position a 13, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Bennett Mull try find_inv_position a 12, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Danny Whittier try find_inv_position a 14, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Danny Whittier try find_inv_position a 11, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Danny Whittier try find_inv_position a 13, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Danny Whittier try find_inv_position a 12, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Steven Aultman try find_inv_position a 14, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Steven Aultman try find_inv_position a 11, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Steven Aultman try find_inv_position a 13, but not have that slot!
[20:41:05] cqs-agdy ADMIN: Steven Aultman try find_inv_position a 12, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Tim Kifer try find_inv_position a 14, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Tim Kifer try find_inv_position a 11, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Tim Kifer try find_inv_position a 13, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Tim Kifer try find_inv_position a 12, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Zachary Mathews try find_inv_position a 14, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Zachary Mathews try find_inv_position a 11, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Zachary Mathews try find_inv_position a 13, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Zachary Mathews try find_inv_position a 12, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Reid Christopher try find_inv_position a 14, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Reid Christopher try find_inv_position a 11, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Reid Christopher try find_inv_position a 13, but not have that slot!
[20:41:06] cqs-agdy ADMIN: Reid Christopher try find_inv_position a 12, but not have that slot!
[20:43:40] cqs-agdy GAME: onestar 1 loaded at at 66,66,19
[20:43:41] cqs-agdy GAME: onestar 3 loaded at at 16,21,19
[20:43:42] cqs-agdy GAME: onestar 1 loaded at at 51,36,19
[20:43:43] cqs-agdy GAME: onestar 2 loaded at at 86,36,19
[20:43:43] cqs-agdy GAME: onestar 3 loaded at at 21,76,19
[20:43:44] cqs-agdy GAME: onestar 1 loaded at at 21,41,19
[20:43:45] cqs-agdy GAME: onestar 3 loaded at at 11,81,19
[20:43:45] cqs-agdy GAME: onestar 4 loaded at at 11,51,19
[20:43:45] cqs-agdy GAME: neutral 1 loaded at at 71,36,19
[20:43:45] cqs-agdy GAME: neutral 5 loaded at at 31,46,19
[20:43:45] cqs-agdy GAME: neutral 3 loaded at at 36,106,19
[20:43:45] cqs-agdy GAME: neutral 11 loaded at at 106,66,19
[20:43:45] cqs-agdy GAME: neutral 8 loaded at at 66,46,19
[20:43:46] cqs-agdy GAME: neutral 4 loaded at at 66,101,19
[20:43:46] cqs-agdy GAME: neutral 11 loaded at at 91,71,19
[20:43:46] cqs-agdy GAME: neutral 4 loaded at at 46,16,19
[20:43:46] cqs-agdy GAME: neutral 8 loaded at at 106,41,19
[20:43:46] cqs-agdy GAME: neutral 9 loaded at at 16,106,19
[20:43:46] cqs-agdy GAME: neutral 11 loaded at at 71,11,19
[20:43:46] cqs-agdy GAME: neutral 5 loaded at at 61,16,19
[20:43:46] cqs-agdy GAME: neutral 5 loaded at at 21,11,19
[20:43:46] cqs-agdy GAME: neutral 9 loaded at at 101,66,19
[20:43:46] cqs-agdy GAME: neutral 6 loaded at at 96,86,19
[20:43:46] cqs-agdy GAME: neutral 2 loaded at at 26,16,19
[20:43:46] cqs-agdy GAME: neutral 3 loaded at at 101,81,19
[20:43:46] cqs-agdy GAME: neutral 1 loaded at at 106,96,19
[20:43:46] cqs-agdy GAME: neutral 2 loaded at at 76,101,19
[20:43:46] cqs-agdy GAME: neutral 4 loaded at at 101,101,19
[20:43:46] cqs-agdy GAME: neutral 4 loaded at at 101,46,19
[20:43:46] cqs-agdy GAME: neutral 11 loaded at at 106,106,19
[20:43:46] cqs-agdy GAME: neutral 4 loaded at at 66,31,19
[20:43:46] cqs-agdy GAME: neutral 5 loaded at at 66,16,19
[20:43:46] cqs-agdy GAME: neutral 5 loaded at at 61,11,19
[20:43:46] cqs-agdy GAME: neutral 8 loaded at at 46,76,19
[20:43:46] cqs-agdy GAME: neutral 8 loaded at at 76,51,19
[20:43:46] cqs-agdy GAME: neutral 6 loaded at at 71,21,19
[20:43:46] cqs-agdy GAME: neutral 10 loaded at at 11,11,19
[20:43:46] cqs-agdy GAME: neutral 8 loaded at at 101,106,19
[20:43:46] cqs-agdy GAME: neutral 11 loaded at at 76,51,19
[20:43:46] cqs-agdy GAME: neutral 10 loaded at at 16,106,19
[20:43:47] cqs-agdy GAME: neutral 8 loaded at at 101,76,19
[20:43:47] cqs-agdy GAME: neutral 1 loaded at at 101,21,19
[20:43:47] cqs-agdy GAME: neutral 10 loaded at at 81,96,19
[20:43:47] cqs-agdy GAME: neutral 4 loaded at at 101,11,19
[20:43:47] cqs-agdy GAME: neutral 1 loaded at at 71,61,19
[20:43:47] cqs-agdy GAME: neutral 7 loaded at at 51,81,19
[20:43:47] cqs-agdy GAME: neutral 6 loaded at at 96,56,19
[20:43:47] cqs-agdy GAME: neutral 8 loaded at at 61,106,19
[20:43:47] cqs-agdy GAME: neutral 5 loaded at at 86,56,19
[20:43:47] cqs-agdy GAME: neutral 9 loaded at at 76,56,19
[20:43:47] cqs-agdy GAME: neutral 9 loaded at at 96,11,19
[20:43:47] cqs-agdy GAME: neutral 4 loaded at at 61,51,19
[20:43:47] cqs-agdy GAME: neutral 9 loaded at at 16,11,19
[20:43:47] cqs-agdy GAME: neutral 5 loaded at at 51,71,19
[20:43:47] cqs-agdy GAME: neutral 5 loaded at at 11,41,19
[20:43:47] cqs-agdy GAME: neutral 8 loaded at at 46,46,19
[20:43:47] cqs-agdy GAME: neutral 2 loaded at at 106,31,19
[20:43:47] cqs-agdy GAME: neutral 3 loaded at at 26,11,19
[20:43:47] cqs-agdy GAME: neutral 4 loaded at at 106,101,19
[20:43:47] cqs-agdy GAME: neutral 6 loaded at at 71,56,19
[20:43:47] cqs-agdy GAME: neutral 10 loaded at at 61,106,19
[20:43:47] cqs-agdy GAME: neutral 4 loaded at at 66,91,19
[20:43:47] cqs-agdy GAME: neutral 4 loaded at at 56,61,19
[20:43:47] cqs-agdy GAME: neutral 8 loaded at at 71,96,19
[20:43:47] cqs-agdy GAME: neutral 1 loaded at at 106,26,19
[20:43:47] cqs-agdy GAME: neutral 3 loaded at at 91,106,19
[20:43:48] cqs-agdy GAME: neutral 3 loaded at at 46,56,19
[20:43:48] cqs-agdy GAME: neutral 3 loaded at at 36,101,19
[20:44:01] cqs-agdy GAME: Emitter deleted at (0,0,0)
[20:45:08] cqs-agdy ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
[20:45:13] cqs-agdy ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
[20:45:14] cqs-agdy ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_boltgun_lever.png:1
[20:45:14] cqs-agdy ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_automatic_sts_rifle.png:1
[20:45:16] cqs-agdy ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_modular_computer_laptop.png:1
[20:45:35] cqs-agdy ADMIN: RiotScopez/(/(RiotScopez)) delayed the game.
[20:46:03] cqs-agdy ADMIN: RiotScopez/(/(RiotScopez)) removed the delay.
[20:46:04] cqs-agdy VOTE: Storyteller vote started by server.
[20:46:05] cqs-agdy ADMIN: RiotScopez/(/(RiotScopez)) removed the delay.
[20:46:07] cqs-agdy ADMIN: RiotScopez/(/(RiotScopez)) delayed the game.
[20:46:19] cqs-agdy GAME: AI core loaded at at 86,91,21
[20:46:20] cqs-agdy MISC: a the gibber didn't find an input plate.
[20:46:20] cqs-agdy GAME: xenostudy loaded at at 112,103,21
[20:46:21] cqs-agdy GAME: lab5 loaded at at 34,91,21
[20:46:21] cqs-agdy GAME: dinner loaded at at 31,62,21
[20:46:22] cqs-agdy GAME: medbay loaded at at 61,70,21
[20:46:22] cqs-agdy GAME: pod bay loaded at at 37,31,21
[20:46:22] cqs-agdy GAME: Entrance - 1 loaded at at 93,137,20
[20:46:23] cqs-agdy GAME: Hallway_4way loaded at at 80,137,20
